County,County_FIPS,State,AIR_POLL_AVE_20,CHILD_IN_POV_RT_20,EXCESS_ETOH_20,FOOD_ENV_20,OBESITY_20,PER_LOW_BW_20,PHYS_INACTIV_20,POOR_FAIR_20,POP_2012,PREV_HOSP_QUART_20,RUCA_CHANGE_5_CATS,SEVERE_HOUSING_PROB_PER_20,SMOKING_20,TEEN_BIRTH_RATE_20,UNINSURED_20,VIOL_CRIME_RT_20,YPLL_20
Abbeville County,45001,South Carolina,10.4,30.8,15.9,7.8,36.7,9.24,29.1,19.9,25101,1,-1,14.32,17.32,28.48,12.9,341.19,9533.3
Acadia Parish,22001,Louisiana,9.4,35.4,19.78,7.8,38.4,9.51,35.3,20.89,61912,3,-2,12.27,21.53,47.34,10.67,443.41,9741.68
Accomack County,51001,Virginia,8.7,27,15.48,7.9,36.3,9.88,36.1,20.09,33341,2,0,15.12,18.32,31.05,16.65,225.87,9630.48
Ada County,16001,Idaho,10.6,10.2,17.88,8.1,25.6,6.58,14.9,11.47,409061,3,0,14.02,11.99,13.08,8.74,230.63,5088.38
Adair County,29001,Missouri,9.5,19.9,18.93,6.6,27.9,8.36,31.7,21.4,25581,1,0,17.97,20.53,11.43,10.6,247.61,8412.07
Adair County,19001,Iowa,8.7,13,19.87,8.7,31.5,6.29,26.9,13.85,7481,1,0,7.74,15.58,14.26,5.46,102.98,6246.62
Adair County,21001,Kentucky,10.4,35,15.8,7.4,40.9,8.33,33.1,22.85,18675,3,0,12.21,22.62,24.69,6.75,39.6,10222.15
Adair County,40001,Oklahoma,9.8,34.9,11.78,6.8,47.7,7.14,25.4,28.54,22286,4,0,15.43,27.74,60.51,24.54,453.92,11817.56
Adams County,8001,Colorado,9.2,12.6,18.92,8.7,27.8,8.76,19.9,16.64,459598,3,0,18.13,16.32,27.08,11.03,372.43,6436.7
Adams County,42001,Pennsylvania,10.6,11.2,19.24,8.9,35.6,7.79,26.7,15.32,101482,1,-1,12.26,16.22,17.62,7.49,133.52,6518.79
Adams County,17001,Illinois,10.7,15.9,19.68,8.3,36.6,7.67,27.6,14.77,67197,3,0,10.99,15.46,26.95,5.24,346.27,7087.09
Adams County,18001,Indiana,12.5,21.7,16.2,8.1,34.8,7.42,30.4,18.94,34365,1,0,16.03,20.45,26.66,11.62,NA,7299.51
Adams County,28001,Mississippi,9,40.4,12.26,4.9,35.3,13.24,31.9,27.28,32122,3,0,12.78,22.21,49.8,14.98,303.72,12505.55
Adams County,31001,Nebraska,8,14.4,18.54,7.7,36.7,6.08,25.5,15.75,31459,3,0,10.46,14.6,26.26,8.76,230.59,7241.27
Adams County,53001,Washington,9.3,20.4,16.14,8.6,36.9,7.23,23.8,23.42,19005,1,-1,22.32,14.33,50.18,12.67,248.4,5818.43
Adams County,16003,Idaho,6.6,24.1,13.65,7.6,30.5,8.06,21.2,14.96,3915,1,0,12.08,14.35,17.57,14.38,117.34,NA
Adams County,19003,Iowa,8.7,20.3,19.92,8.7,29.9,7.07,24.7,12.48,3911,1,0,7.14,15.64,23.81,6.19,65.64,NA
Adams County,38001,North Dakota,4.8,12.8,19.58,8.9,30.2,NA,27.3,13.14,2311,1,0,7.28,14.97,NA,10.06,64.12,NA
Adams County,39001,Ohio,10.4,29.1,16.06,7.1,32.2,9.05,36.6,22.3,28350,4,0,16.17,24.28,40.03,9.06,85.85,12222.91
Adams County,55001,Wisconsin,8.8,23.7,21.54,8.5,30.2,8.55,26.1,14.19,20679,2,0,13.58,16.44,24.41,7.86,188.28,8351.15
Addison County,50001,Vermont,6.9,9.6,21.68,8.7,25.5,6.44,20.3,9.68,36745,1,0,15.14,13.03,8.36,6.22,78.63,4188.04
Aiken County,45003,South Carolina,11.3,22.8,17.22,7.7,35.8,9.32,26.9,17.71,162812,3,0,12.88,14.92,30.43,13.43,453.08,9304.07
Aitkin County,27001,Minnesota,6.1,20.1,18.56,7.7,29.5,6.27,29,14.23,15927,4,0,15.25,15.17,14.37,6.62,112.07,10287.67
Alachua County,12001,Florida,8.3,21.1,18.68,6.6,26.7,9.9,23.5,17.61,251417,2,-1,20.14,16.38,12.91,11.87,560.54,6823.57
Alamance County,37001,North Carolina,10.5,19.8,16.32,7.1,32.4,9.47,26.2,17.95,153920,2,0,16.47,17.1,23.23,14.14,381.8,8077.65
Alameda County,6001,California,10.4,9.8,19.89,8.3,19.4,7.26,14.5,12.41,1554720,3,0,23.66,9.73,11.41,5.78,628.78,4408.59
Alamosa County,8003,Colorado,4.6,24.3,16.54,8.2,24,10.3,23.9,22.84,16148,2,0,19.51,17.28,19.68,13.19,NA,9380.54
Albany County,36001,New York,9.1,15.3,20.02,8,27.3,8.12,22,14.21,305455,2,0,15.55,14.53,10.9,4.4,348.22,5821.07
Albany County,56001,Wyoming,3.7,13.5,21.19,6.4,23.6,8.53,16.9,15.81,37276,3,0,22.39,15.65,10.24,12.54,137.93,5615.9
Albemarle County,51003,Virginia,8.5,9.6,20.72,8.7,20.8,6.48,17.5,12.79,102251,1,0,12.96,13.82,5.97,9.96,100.24,4276.54
Alcona County,26001,Michigan,7.5,31.6,15.62,8,34.9,7.76,21.7,14.75,10635,1,0,11.66,16.05,22.57,8.81,120.48,9813.57
Alcorn County,28003,Mississippi,10,23.4,15,7.5,35.3,11.39,35.1,22.49,37164,3,0,13.47,19.02,45.13,14.4,NA,11917.61
Aleutians East Borough,2013,Alaska,NA,12.5,16.63,5.3,50.5,NA,30,16.83,3161,NA,0,12.66,16.65,NA,27.86,NA,NA
Aleutians West Census Area,2016,Alaska,NA,8.1,19.2,7.6,44.3,7.56,30.1,15.17,5547,3,0,18.99,15.14,NA,20.23,294.62,NA
Alexander County,37003,North Carolina,10.1,19.6,17,8.2,34.8,8.32,31.3,15.92,36853,3,0,14.24,16.57,29.76,13.41,192.55,8854.86
Alexander County,17003,Illinois,11.3,44.5,14.51,5.4,26.2,8.32,22.6,24.27,7748,3,-1,17.55,21.55,51.6,6.37,1316.35,9900.36
Alexandria city,51510,Virginia,9.7,16.1,21.69,NA,23.9,6.98,16,14.81,146294,2,0,16.62,15.07,22.89,11.13,186.37,3610.83
Alfalfa County,40003,Oklahoma,8.4,18.5,14.72,6.5,34.8,6.07,28.6,16.74,5666,1,0,5.42,16.87,28.51,18.2,135.63,6751.57
Alger County,26003,Michigan,6.4,18.5,18.73,6.9,25.8,7.49,25.8,15.4,9541,1,0,11.94,17.61,16.23,7.63,206.74,5457.09
Allamakee County,19005,Iowa,8.9,18.1,19.22,8.5,35,5.22,22.9,14.53,14237,1,0,10.02,16.19,25.07,7.93,39.39,5439.71
Allegan County,26005,Michigan,11,13.6,19.11,8.9,33.5,6.55,20.4,14.21,112039,2,0,12.1,16.27,21.39,5.46,245.51,6180.57
Allegany County,24001,Maryland,9,21.3,16.29,7.2,36.9,8.51,29.1,16.6,74012,3,0,14.66,16.05,24.02,5.88,310.51,9202.06
Allegany County,36003,New York,8.5,22.8,20.05,8.1,35.9,6.96,29.3,14.42,48357,4,0,14.14,16.56,14.43,5.85,195.03,7283.14
Alleghany County,37005,North Carolina,8.7,29.8,14.42,8,25.7,9.05,25.8,18.95,10927,3,0,13.13,17.21,42.87,18.28,140.2,8239.82
Alleghany County,51005,Virginia,8.7,21.1,16.23,8,35.7,7.5,27.6,16.12,16230,4,0,11.83,16.91,27.86,9.86,195.94,8808.99
Allegheny County,42003,Pennsylvania,13.3,15,22.02,7.7,28.1,8.05,20.9,12.73,1229338,3,0,13.83,16.99,13.4,4.86,394.53,7960.35
Allen County,18003,Indiana,12.6,21,17.8,7.3,32.3,8.74,22.6,17.71,360412,3,0,11.79,19.77,27.58,9.71,295.91,8340.38
Allen County,21003,Kentucky,10.6,24.6,15.89,8,37.5,10.15,39.4,21.96,20210,3,-2,12.72,22.18,36.12,7.11,102.07,10941.4
Allen County,39003,Ohio,12.2,18.7,16.74,7.5,34,9.35,27.5,16.5,105141,4,0,13.64,20.18,30.49,7.7,395.33,9037.49
Allen County,20001,Kansas,9.5,26.8,16.38,6.3,38.3,6.19,30.7,17.76,13319,4,0,8.95,18.65,28.3,9.12,318.65,9357.64
Allen Parish,22003,Louisiana,9.2,22.7,20.52,7.3,37,9.46,40.7,21.31,25539,3,0,11.48,22.04,52.71,9.33,124.37,9682.75
Allendale County,45005,South Carolina,10.2,51.6,12.8,5.1,39.9,11.99,41.1,26.68,9988,3,0,17.88,22.22,53.91,11.83,481.87,12226.53
Alpena County,26007,Michigan,7.5,22.6,19.12,8.1,33.6,6.98,24.5,14.69,29234,2,0,12.08,17.36,22.62,6.15,303.57,7178.73
Alpine County,6003,California,5.6,34.7,19.64,6.9,23,NA,20.6,16.46,1129,1,0,23.19,14.46,NA,7.57,442.48,NA
Amador County,6005,California,8.9,13.8,21.11,8.2,29.7,6.81,24.8,13.1,37035,2,0,19.37,10.83,18.1,6.2,237.07,6363.87
Amelia County,51007,Virginia,8.9,13.2,16.61,8.1,41.3,7.03,28.1,15.54,12759,2,0,12.33,17.36,18.06,13.6,117.11,10421.69
Amherst County,51009,Virginia,9.1,18.5,16.52,8,35.2,7.62,29.7,16.06,32384,3,-1,12.76,16.91,22.59,12.35,133.08,7514.23
Amite County,28005,Mississippi,9,32.9,11.89,6.3,39.9,12.17,37,24.68,12957,2,0,11.5,18.69,38.48,18.37,NA,9702.74
Anchorage Municipality,2020,Alaska,NA,12.1,21.47,8,31.8,6.26,17.6,14.99,298610,2,0,16.22,15.04,24.27,12.74,1006.66,7680.08
Anderson County,45007,South Carolina,11,21.3,16.27,7.5,34.1,9.25,26.9,16.19,189355,4,-1,12.85,17.55,33.19,13.34,600.1,9126.23
